funder,count,type,country,established
Collaborative Innovation Center of Chemical Science and Engineering Tianjin,1,Facility,China,2011
Watson Clinic,1,Healthcare,United States,1941
Czech Water Association,1,Other,Czechia,1992
Watershed Support Services and Activities Network,1,Nonprofit,India,1995
Cznic,1,Other,Czechia,1998
Câmara Municipal de Almada,1,Other,Portugal,1974
Cégep André Laurendeau,1,Education,Canada,1973
Cégep de Baie-Comeau,1,Education,Canada,1967
WaterCampus,1,Facility,Netherlands,
Water-Jel Technologies (United Kingdom),1,Company,United Kingdom,
Cégep de l'Outaouais,1,Education,Canada,1967
Wasserman Foundation,1,Nonprofit,United States,1952
Cégep du Vieux Montréal,1,Education,Canada,1968
Collaborative Innovation Center of Advanced Microstructures,1,Facility,China,2014
Academy of Sciences of the Republic of Tajikistan,1,Education,Tajikistan,1951
D2NA (United Kingdom),1,Company,United Kingdom,2005
DAPHNE Institute of Applied Ecology,1,Nonprofit,Czechia,1993
Academy of the Social Sciences in Australia,1,Education,Australia,1971
Water Insight (Netherlands),1,Company,Netherlands,2005
Water Environment and Reuse Foundation,1,Nonprofit,United States,2016
Water Board of Lemesos,1,Government,Cyprus,
Water Authority of Jordan,1,Government,Jordan,1983
Water & Earth Technologie (United States),1,Company,United States,1998
Waste Hub (United States),1,Company,United States,2012
Acadian Peat Moss (Canada),1,Company,Canada,1965
Waste,1,Other,Netherlands,1983
DNA Diagnostics Center (United States),1,Company,United States,1995
Walmart (United Kingdom),1,Company,United Kingdom,1962
Volkswagen Group (Czechia),1,Company,Czechia,1937
"Vysoká škola manažmentu, City University of Seattle",1,Education,Slovakia,1999
DST Centre for Policy Research,1,Facility,India,
WEGEMT,1,Nonprofit,United Kingdom,1978
WAMITAB,1,Nonprofit,United Kingdom,1989
WAM Technology (South Africa),1,Company,South Africa,1995
WADI Group (Egypt),1,Company,Egypt,1985
Acoustics Research Institute,1,Facility,Austria,1972
W.E. Upjohn Institute for Employment Research,1,Nonprofit,United States,1945
Actar (Spain),1,Company,Spain,1994
DWG Arquitetura e Sistemas (Brazil),1,Company,Brazil,
W. L. Gore & Associates (Japan),1,Company,Japan,1958
Výzkumná Stanice Vinohradnická,1,Other,Czechia,1904
"Acteurs, Ressources et Territoires dans le Développement",1,Facility,France,2011
Västra Götaland Regional Council,1,Government,Sweden,1998
Västerbottens Läns Landsting,1,Government,Sweden,1863
Da Volterra (France),1,Company,France,
Colgate University,1,Education,United States,1819
Vulintus (United States),1,Company,United States,2010
Dabur Research Foundation (India),1,Company,India,1979
Dacon (Norway),1,Company,Norway,
Vrije Universiteit Amsterdam,1,Education,Netherlands,1880
Vp Agro (Czechia),1,Company,Czechia,1990
Voronezh State University of Forestry and Technologies,1,Education,Russia,1930
Voronezh Research Institute Vega,1,Facility,Russia,1956
Vorarlberg Museum,1,Archive,Austria,1857
Daedalus Trust,1,Other,United Kingdom,2011
Volvo Environment Prize,1,Nonprofit,Sweden,1988
Volusia County Public Library,1,Archive,United States,
Daegu Health College,1,Education,South Korea,1971
Daejeon Institute of Science and Technology,1,Education,South Korea,1940
Dagon University,1,Education,Myanmar,1993
DSMS Group of Institutions,1,Education,India,1990
Acoustical Society of America,1,Other,United States,1928
Accra Institute of Technology,1,Education,Ghana,2009
Wake Forest University,1,Education,United States,1834
Walloon Excellence in Lifesciences and Biotechnology,1,Nonprofit,Belgium,2009
Walloon Agricultural Research Centre,1,Facility,Belgium,1872
DNA Software (United States),1,Company,United States,2000
Wallingford Public Library,1,Archive,United States,1881
Wallace Laboratories,1,Facility,United States,
Accucaps (Canada),1,Company,Canada,1982
Wallace Community College,1,Education,United States,1947
Wall Las Memorias Project,1,Nonprofit,Spain,1993
DNAVision (Belgium),1,Company,Belgium,2005
Walker Associates Architects (United Kingdom),1,Company,United Kingdom,
Walker (United States),1,Company,United States,1991
Walisongo State Islamic University,1,Education,Indonesia,1970
Acellera (Spain),1,Company,Spain,2006
Wako University,1,Education,Japan,1966
"Wakayama Department of Agriculture, Forestry and Fisheries",1,Government,Japan,
DSK (Czechia),1,Company,Czechia,
Wakaba Hospital,1,Healthcare,Japan,1987
Achieve Tahoe,1,Nonprofit,United States,1967
Waitaki Biosciences (New Zealand),1,Company,New Zealand,1984
Waikato-Tainui College for Research and Development,1,Education,New Zealand,
DNEG (United Kingdom),1,Company,United Kingdom,1998
Achievers University,1,Education,Nigeria,2007
Waikato Hospital,1,Healthcare,New Zealand,1886
Acidophil (United Kingdom),1,Company,United Kingdom,1998
DNV GL (United Kingdom),1,Company,United Kingdom,1864
Wadi International University,1,Education,Syria,2005
DRDO Young Scientist Laboratory,1,Facility,India,2020
Wabco (Belgium),1,Company,Belgium,2007
Waag Society,1,Facility,Netherlands,1996
DRG Undersea Consulting (United States),1,Company,United States,1999
Dart Foundation,1,Nonprofit,United States,1984
Adlink (United Kingdom),1,Company,United Kingdom,1992
Vancouver Island University,1,Education,Canada,1969
African Capacity Building Foundation,1,Nonprofit,Zimbabwe,1991
Department of Education of Zhejiang Province,1,Government,China,1992
Co-operative College,1,Nonprofit,United Kingdom,1919
Cluster of Excellence on Plant Sciences,1,Facility,Germany,2012
Africa Youth Growth Foundation,1,Nonprofit,Nigeria,2003
University of Verona,1,Education,Italy,1982
Cluster in Biomedicine,1,Nonprofit,Italy,2004
Cluster University Srinagar,1,Education,India,2016
Clubhouse International,1,Nonprofit,United States,1994
Cloudnine,1,Healthcare,India,2007
University of Ulster,1,Education,United Kingdom,1968
University of Ulm,1,Education,Germany,1967
University of Tübingen,1,Education,Germany,1477
University of Tyumen,1,Education,Russia,1930
Department of General Services,1,Government,United States,1978
University of Turkish Aeronautical Association,1,Education,Turkey,2011
Department of Education Shandong Province,1,Government,China,
University of Trnava,1,Education,Slovakia,1635
University of Tripoli,1,Education,Libya,1957
University of Trieste,1,Education,Italy,1924
Department of Internal Affairs,1,Government,New Zealand,1840
African Field Epidemiology Network,1,Nonprofit,Nigeria,2005
African Heritage Institution,1,Nonprofit,Nigeria,2000
University of Texas Health Science Center at Dallas,1,Education,United States,1998
University of Teramo,1,Education,Italy,1993
Clinton Foundation,1,Nonprofit,Ethiopia,2005
African Leaders Malaria Alliance,1,Government,United States,2009
"University of Technology, Mauritius",1,Education,Mauritius,2000
Department of Local Government and Communities,1,Government,Australia,2013
University of Teacher Education Zug,1,Education,Switzerland,2013
Cliniques Universitaires Saint-Luc,1,Healthcare,Belgium,1976
Department of Education of Jilin Province,1,Education,China,1998
Department of Education Pagadian,1,Government,Philippines,1973
African Network for Internationalization of Education,1,Nonprofit,Kenya,2008
"Department of Animal Husbandry Livestock, Fisheries & Veterinary",1,Government,India,1975
Departamento de Educación,1,Government,Spain,1987
University of Worcester,1,Education,United Kingdom,1946
Adventist Health Glendale,1,Healthcare,United States,1905
University of Wismar,1,Education,Germany,1908
Department for Education,1,Government,United Kingdom,2010
Advocacy Alliance Center of Texas,1,Nonprofit,United States,2011
University of Wisconsin–Platteville,1,Education,United States,1866
University of Wisconsin–Oshkosh,1,Education,United States,1871
Department for Infrastructure,1,Government,United Kingdom,1999
University of Wisconsin–La Crosse,1,Education,United States,1909
Aero Corporation (United States),1,Company,United States,
Coastal Pines Technical College,1,Education,United States,2014
Aerocosmos,1,Facility,Russia,2000
Coastal Health District,1,Healthcare,United States,
University of Winchester,1,Education,United Kingdom,1840
University of Virginia Medical Center,1,Healthcare,United States,1825
University of Westminster,1,Education,United Kingdom,1838
Aesculapius Farmaceutici (Italy),1,Company,Italy,1959
University of West London,1,Education,United Kingdom,1992
Coast Mountain College,1,Education,Canada,1975
"Department of Communities, Culture and Heritage",1,Government,Canada,2011
Coast Community College District,1,Education,United States,1947
University of Waterloo,1,Education,Canada,1956
University of Wasit,1,Education,Iraq,2003
Affymax (United States),1,Company,United States,
Coalition For A Safe Environment,1,Nonprofit,United States,2001
Coal Industry Jinan Design & Research Institute (China),1,Company,China,1953
Afingen (United States),1,Company,United States,2014
University of Vlorë,1,Education,Albania,1994
Department of Economic and Community Development,1,Government,United States,1995
University of Tartu Natural History Museum and Botanical Garden,1,Archive,Estonia,1802
African Palliative Care Association,1,Nonprofit,Australia,2002
Admin Partners (Switzerland),1,Company,Switzerland,1919
Detroit Historical Society,1,Other,United States,1921
University of Science and Technology of Togo,1,Education,Togo,2012
University of Science and Technology of Benin,1,Education,Benin,1996
Der Österreichische Weinbauverband,1,Other,Austria,1885
Agder Research,1,Facility,Norway,1985
University of Sargodha,1,Education,Pakistan,2002
Deschutes Research,1,Company,United States,1996
University of San Simón,1,Education,Bolivia,1832
University of San Jose–Recoletos,1,Education,Philippines,1947
University of Salford,1,Education,United Kingdom,1850
Clinical & Biomedical Computing (United Kingdom),1,Company,United Kingdom,1999
Clinica Mediterranea,1,Healthcare,Italy,
Desjardins,1,Other,Canada,1900
University of Saint Mary,1,Education,United States,1923
University of Saint Francis Xavier,1,Education,Bolivia,1624
University of Rouen,1,Education,France,1966
Aga Khan Development Network,1,Other,Pakistan,1957
Detroit Recovery Project,1,Nonprofit,United States,2005
Detroit Rescue Mission Ministries,1,Other,United States,1909
University of Rijeka,1,Education,Croatia,1973
Clinica Chicamocha,1,Healthcare,Colombia,1983
Deutsche Bundesbank,1,Other,Germany,1957
University of Regensburg,1,Education,Germany,1962
University of Redlands,1,Education,United States,1907
Agence Nationale pour l'Emploi,1,Government,France,1967
University of Rajshahi,1,Education,Bangladesh,1953
Clinatec,1,Facility,France,2011
Agence de Mutualisation des Universités et Etablissements,1,Other,France,1992
University of Pune,1,Education,India,1948
Deutsche Homöopathie-Union,1,Healthcare,Germany,1961
Deutsche Montan Technologie (Germany),1,Company,Germany,1864
Department of the Prime Minister and Cabinet,1,Government,Australia,1971
University of Sfax,1,Education,Tunisia,1986
"Department of Natural Resources, Mines and Energy",1,Government,Australia,
Department of Public,1,Government,India,1811
Clinique du Millénaire,1,Healthcare,France,2003
African Studies Association,1,Nonprofit,United Kingdom,1957
University of Sunderland,1,Education,United Kingdom,1992
University of Suffolk,1,Education,United Kingdom,2007
University of Sucre,1,Education,Colombia,1977
University of St. Gallen,1,Education,Switzerland,1898
African Union,1,Government,Ethiopia,2002
"Department of Physics, Mathematics and Informatics",1,Facility,Belarus,1963
Clinique Mutualiste de l'Estuaire,1,Healthcare,France,
University of Southern Mississippi,1,Education,United States,1910
University of Southern Maine,1,Education,United States,1878
African Union Commission,1,Government,Ethiopia,1999
Department of Primary Industry and Resources,1,Government,Australia,2016
African Water Association,1,Company,Ivory Coast,1979
Department of Public Health,1,Government,Myanmar,
Clinical Evaluation Research Unit,1,Facility,Canada,1997
Department of Science & Technology,1,Government,India,1975
Clinique Hartmann,1,Healthcare,France,2000
University of South Carolina Union,1,Education,United States,1965
University of South Carolina System,1,Education,United States,1957
University of South Carolina Salkehatchie,1,Education,United States,1965
Clinique Claude-Bernard,1,Healthcare,France,
Department of Statistics Malaysia,1,Government,Malaysia,1965
Clinical Trial Investigators,1,Other,United States,2014
Department of Virology,1,Facility,France,2013
Clinical Nutrition Research Centre,1,Facility,Singapore,
